"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Image Gallery","Fact Sheets"
"JUVI","","Juniperus virginiana","eastern redcedar","Photo","../factsheet/pdf/fs_juvi.pdf"
"ENPE4","","Engelmannia peristenia","Engelmann's daisy","Photo","../factsheet/pdf/fs_enpe4.pdf"
"EUGR5","","Euthamia graminifolia","flat-top goldentop","Photo","../factsheet/pdf/fs_eugr5.pdf"
"PAFL4","","Paspalum floridanum","Florida paspalum","Photo","../factsheet/pdf/fs_pafl4.pdf"
"COFL2","","Cornus florida","flowering dogwood","Photo","../factsheet/pdf/fs_cofl2.pdf"
"ATCA2","","Atriplex canescens","fourwing saltbush","Photo","../factsheet/pdf/fs_atca2.pdf"
"RHARS","","Rhus aromatica var. serotina","fragrant sumac","Photo","../factsheet/pdf/fs_rhars.pdf"
"POFR2","","Populus fremontii","Fremont cottonwood","Photo","../factsheet/pdf/fs_pofr2.pdf"
"CLFR","","Clematis fremontii","Fremont's leather flower","Photo","../factsheet/pdf/fs_clfr.pdf"
"PISA6","","Pisum sativum","garden pea","Photo","../factsheet/pdf/fs_pisa6.pdf"
"ARGI","","Arundinaria gigantea","giant cane","Photo","../factsheet/pdf/fs_argi.pdf"
"CAGI3","","Calamovilfa gigantea","giant sandreed","Photo","../factsheet/pdf/fs_cagi3.pdf"
"BEPO","","Betula populifolia","gray birch","Photo","../factsheet/pdf/fs_bepo.pdf"
"FRPE","","Fraxinus pennsylvanica","green ash","Photo","../factsheet/pdf/fs_frpe.pdf"
"VACO","","Vaccinium corymbosum","highbush blueberry","Photo","../factsheet/pdf/fs_vaco.pdf"
"BEIN2","","Berteroa incana","hoary alyssum","Photo","../factsheet/pdf/fs_bein2.pdf"
"GLTR","","Gleditsia triacanthos","honeylocust","Photo","../factsheet/pdf/fs_gltr.pdf"
"DEIL","","Desmanthus illinoensis","Illinois bundleflower","Photo","../factsheet/pdf/fs_deil.pdf"
"CHLA5","","Chasmanthium latifolium","Indian woodoats","Photo","../factsheet/pdf/fs_chla5.pdf"
"SONU2","","Sorghastrum nutans","Indiangrass","Photo","../factsheet/pdf/fs_sonu2.pdf"
"QUWI2","","Quercus wislizeni","interior live oak","Photo","../factsheet/pdf/fs_quwi2.pdf"
"CRCO2","","Crataegus coccinioides","Kansas hawthorn","","../factsheet/pdf/fs_crco2.pdf"
"POPR","","Poa pratensis","Kentucky bluegrass","Photo","../factsheet/pdf/fs_popr.pdf"
"GYDI","","Gymnocladus dioicus","Kentucky coffeetree","Photo","../factsheet/pdf/fs_gydi.pdf"
"PACO2","","Panicum coloratum","kleingrass","Photo","../factsheet/pdf/fs_paco2.pdf"
"PADI6","","Paspalum distichum","knotgrass","Photo","../factsheet/pdf/fs_padi6.pdf"
"AMCA6","","Amorpha canescens","leadplant","Photo","../factsheet/pdf/fs_amca6.pdf"
"PHLE4","","Philadelphus lewisii","Lewis' mock orange","Photo","../factsheet/pdf/fs_phle4.pdf"
"SCSC","","Schizachyrium scoparium","little bluestem","Photo","../factsheet/pdf/fs_scsc.pdf"
"JUMI","","Juglans microcarpa","little walnut","Photo","../factsheet/pdf/fs_jumi.pdf"
"PIPA2","","Pinus palustris","longleaf pine","Photo","../factsheet/pdf/fs_pipa2.pdf"
"PAHE2","","Panicum hemitomon","maidencane","Photo","../factsheet/pdf/fs_pahe2.pdf"
"ASHU","","Astragalus humillimus","Mancos milkvetch","Photo","../factsheet/pdf/fs_ashu.pdf"
"VIAC","","Viburnum acerifolium","mapleleaf viburnum","Photo","../factsheet/pdf/fs_viac.pdf"
"HEMA2","","Helianthus maximiliani","Maximilian sunflower","Photo","../factsheet/pdf/fs_hema2.pdf"
"CRAE","","Crataegus aestivalis","may hawthorn","Photo","../factsheet/pdf/fs_crae.pdf"
"SOMI2","","Solidago missouriensis","Missouri goldenrod","Photo","../factsheet/pdf/fs_somi2.pdf"
"VILE","","Viburnum lentago","nannyberry","Photo","../factsheet/pdf/fs_vile.pdf"
"PYTE","","Pycnanthemum tenuifolium","narrowleaf mountainmint","Photo","../factsheet/pdf/fs_pyte.pdf"
"SAEX","","Salix exigua","narrowleaf willow","Photo","../factsheet/pdf/fs_saex.pdf"
"CANE2","","Carex nebrascensis","Nebraska sedge","Photo","../factsheet/pdf/fs_cane2.pdf"
"JURO","","Juncus roemerianus","needlegrass rush","Photo","../factsheet/pdf/fs_juro.pdf"
"SYNO2","","Symphyotrichum novae-angliae","New England aster","Photo","../factsheet/pdf/fs_syno2.pdf"
"CEAM","","Ceanothus americanus","New Jersey tea","Photo","../factsheet/pdf/fs_ceam.pdf"
"MOPE6","","Morella pensylvanica","northern bayberry","Photo","../factsheet/pdf/fs_mope6.pdf"
"CASP8","","Catalpa speciosa","northern catalpa","Photo","../factsheet/pdf/fs_casp8.pdf"
"DAGL","","Dactylis glomerata","orchardgrass","Photo","../factsheet/pdf/fs_dagl.pdf"
"MAPO","","Maclura pomifera","Osage-orange","Photo","../factsheet/pdf/fs_mapo.pdf"
"ECPA","","Echinacea pallida","pale purple coneflower","Photo","../factsheet/pdf/fs_ecpa.pdf"
"DEPA6","","Desmodium paniculatum","panicledleaf ticktrefoil","Photo","../factsheet/pdf/fs_depa6.pdf"
"CHFA2","","Chamaecrista fasciculata","partridge pea","Photo","../factsheet/pdf/fs_chfa2.pdf"
"CAIL2","","Carya illinoinensis","pecan","Photo","../factsheet/pdf/fs_cail2.pdf"
"SPJU","","Sporobolus junceus","pineywoods dropseed","Photo","../factsheet/pdf/fs_spju.pdf"
"PABI2","","Pappophorum bicolor","pink pappusgrass","","../factsheet/pdf/fs_pabi2.pdf"
"RAPI","","Ratibida pinnata","pinnate prairie coneflower","Photo","../factsheet/pdf/fs_rapi.pdf"
"SAAZG","","Salvia azurea var. grandiflora","pitcher sage","Photo","../factsheet/pdf/fs_saazg.pdf"
"SEVU2","","Setaria vulpiseta","plains bristlegrass","Photo","../factsheet/pdf/fs_sevu2.pdf"
"ERIN","","Eragrostis intermedia","plains lovegrass","Photo","../factsheet/pdf/fs_erin.pdf"
"PIPO","","Pinus ponderosa","ponderosa pine","Photo","../factsheet/pdf/fs_pipo.pdf"
"MIST2","","Mimosa strigillosa","powderpuff","Photo","../factsheet/pdf/fs_mist2.pdf"
"LIPY","","Liatris pycnostachya","prairie blazing star","Photo","../factsheet/pdf/fs_lipy.pdf"
"SPPE","","Spartina pectinata","prairie cordgrass","Photo","../factsheet/pdf/fs_sppe.pdf"
"KOMA","","Koeleria macrantha","prairie Junegrass","Photo","../factsheet/pdf/fs_koma.pdf"
"ARFR4","","Artemisia frigida","prairie sagewort","Photo","../factsheet/pdf/fs_arfr4.pdf"
"CALO","","Calamovilfa longifolia","prairie sandreed","Photo","../factsheet/pdf/fs_calo.pdf"
"AGSC","","Agastache scrophulariifolia","purple giant hyssop","","../factsheet/pdf/fs_agsc.pdf"
"PAIN6","","Passiflora incarnata","purple passionflower","Photo","../factsheet/pdf/fs_pain6.pdf"
"DAPU5","","Dalea purpurea","purple prairie clover","Photo","../factsheet/pdf/fs_dapu5.pdf"
"TRPR2","","Trifolium pratense","red clover","Photo","../factsheet/pdf/fs_trpr2.pdf"
"FERU2","","Festuca rubra","red fescue","Photo","../factsheet/pdf/fs_feru2.pdf"
"ACRU","","Acer rubrum","red maple","Photo","../factsheet/pdf/fs_acru.pdf"
"PIRE","","Pinus resinosa","red pine","Photo","../factsheet/pdf/fs_pire.pdf"
"COSES","","Cornus sericea ssp. sericea","redosier dogwood","Photo","../factsheet/pdf/fs_coses.pdf"
"AGGI2","","Agrostis gigantea","redtop","Photo","../factsheet/pdf/fs_aggi2.pdf"
"PHAR3","","Phalaris arundinacea","reed canarygrass","Photo","../factsheet/pdf/fs_phar3.pdf"
"BENI","","Betula nigra","river birch","Photo","../factsheet/pdf/fs_beni.pdf"
"JUSC2","","Juniperus scopulorum","Rocky Mountain juniper","Photo","../factsheet/pdf/fs_jusc2.pdf"
"LECA8","","Lespedeza capitata","roundhead lespedeza","Photo","../factsheet/pdf/fs_leca8.pdf"
"ERNA10","","Ericameria nauseosa","rubber rabbitbrush","Photo","../factsheet/pdf/fs_erna10.pdf"
"ONVI","","Onobrychis viciifolia","sainfoin","Photo","../factsheet/pdf/fs_onvi.pdf"
"DISP","","Distichlis spicata","saltgrass","Photo","../factsheet/pdf/fs_disp.pdf"
"SPPA","","Spartina patens","saltmeadow cordgrass","Photo","../factsheet/pdf/fs_sppa.pdf"
"ANHA","","Andropogon hallii","sand bluestem","Photo","../factsheet/pdf/fs_anha.pdf"
"SPCR","","Sporobolus cryptandrus","sand dropseed","Photo","../factsheet/pdf/fs_spcr.pdf"
"ERTR3","","Eragrostis trichodes","sand lovegrass","","../factsheet/pdf/fs_ertr3.pdf"
"POSE","","Poa secunda","Sandberg bluegrass","Photo","../factsheet/pdf/fs_pose.pdf"
"AMALS","","Amelanchier alnifolia var. semiintegrifolia","Saskatoon serviceberry","Photo","../factsheet/pdf/fs_amals.pdf"
"UNPA","","Uniola paniculata","seaoats","Photo","../factsheet/pdf/fs_unpa.pdf"
"PAVA","","Paspalum vaginatum","seashore paspalum","Photo","../factsheet/pdf/fs_pava.pdf"
"SOSE","","Solidago sempervirens","seaside goldenrod","Photo","../factsheet/pdf/fs_sose.pdf"
"ASSP","","Asclepias speciosa","showy milkweed","Photo","../factsheet/pdf/fs_assp.pdf"
"DECA7","","Desmodium canadense","showy ticktrefoil","Photo","../factsheet/pdf/fs_deca7.pdf"
"ULPU","","Ulmus pumila","Siberian elm","Photo","../factsheet/pdf/fs_ulpu.pdf"
"AGFR","","Agropyron fragile","Siberian wheatgrass","Photo","../factsheet/pdf/fs_agfr.pdf"
"BOCU","","Bouteloua curtipendula","sideoats grama","Photo","../factsheet/pdf/fs_bocu.pdf"
"SHAR","","Shepherdia argentea","silver buffaloberry","Photo","../factsheet/pdf/fs_shar.pdf"
"ACSA2","","Acer saccharinum","silver maple","Photo","../factsheet/pdf/fs_acsa2.pdf"
"ALVIS","","Alnus viridis ssp. sinuata","Sitka alder","Photo","../factsheet/pdf/fs_alvis.pdf"
"ELTR7","","Elymus trachycaulus","slender wheatgrass","Photo","../factsheet/pdf/fs_eltr7.pdf"
"SAMI3","","Sanguisorba minor","small burnet","Photo","../factsheet/pdf/fs_sami3.pdf"
"SPAL","","Spartina alterniflora","smooth cordgrass","Photo","../factsheet/pdf/fs_spal.pdf"
"HEHE5","","Heliopsis helianthoides","smooth oxeye","Photo","../factsheet/pdf/fs_hehe5.pdf"
"RHGL","","Rhus glabra","smooth sumac","Photo","../factsheet/pdf/fs_rhgl.pdf"
"VIDE","","Viburnum dentatum","southern arrowwood","Photo","../factsheet/pdf/fs_vide.pdf"
"CABI8","","Catalpa bignonioides","southern catalpa","Photo","../factsheet/pdf/fs_cabi8.pdf"
